source_file,plot_nr,n_trees_gt,shannon_index,Species,Nr_of_trees_field,Conifer,Broadleaved,Broadleaved_prop,dbh_mean,dbh_sd,dbh_median,dbh_p10,dbh_p90,h_mean,h_sd,h_median,h_p10,h_p90,dbh_nn,h_nn,clarkevans,complexity_score,aboveground_points,unlabeled_points_aboveground,tree_points_aboveground,treex_mean_iou,treex_mean_precision,treex_mean_recall,treex_detection_rate,RayExtract_mean_iou,RayExtract_mean_precision,RayExtract_mean_recall,RayExtract_detection_rate,TreeLearn_mean_iou,TreeLearn_mean_precision,TreeLearn_mean_recall,TreeLearn_detection_rate,TreeAIBox_mean_iou,TreeAIBox_mean_precision,TreeAIBox_mean_recall,TreeAIBox_detection_rate,SegmentAnyTree_mean_iou,SegmentAnyTree_mean_precision,SegmentAnyTree_mean_recall,SegmentAnyTree_detection_rate,ForestFormer3D_mean_iou,ForestFormer3D_mean_precision,ForestFormer3D_mean_recall,ForestFormer3D_detection_rate,avg_mean_iou,std_mean_iou,avg_mean_precision,std_mean_precision,avg_mean_recall,std_mean_recall,avg_detection_rate,std_detection_rate
Rem_Gorlice_2015_0101703.laz,101703,48,1.15188244334623,6,43,29,14,0.325581395,173.6744186,102.8717928,137,75.2,316.2,14.88837209,6.71530623,13.7,6.92,24.32,383,27,0.82429874,0.771743814,2298580,730196,1568384,0.554874675357746,0.658261431417159,0.810454810378737,0.854166666666667,0.499362649855866,0.671589700848409,0.695830201161676,1,0.571313464137982,0.662074915605224,0.800314871505552,0.8125,0.573871831453563,0.674045414068099,0.836658665065845,1,0.615992972069769,0.665476029614969,0.820167972876812,0.9375,0.655871361719819,0.737529508428676,0.880226486001468,0.979166666666667,0.578547825765791,0.0487954561396478,0.678162833330423,0.0270813687726142,0.807275501165015,0.0560208972935366,0.930555555555555,0.0728339477895939
Rem_Gorlice_2015_0601903.laz,601903,33,1.54302931926,7,21,4,17,0.80952381,284.9047619,175.5921139,265,86,535,21.05238095,8.879449254,23.6,11.1,32,490,32,0.822384977,1.335146234,2320337,556984,1763353,0.554101794395247,0.608535690247304,0.883094819225127,0.757575757575758,0.596356197001721,0.701452611980015,0.799562896936583,1,0.592638845365178,0.686399711582287,0.808562465075004,0.909090909090909,0.61724663218135,0.720211112634711,0.837695631802576,1,0.582737296296028,0.661509599865299,0.814522354736069,0.848484848484848,0.572553116365477,0.690702433160683,0.739025281919686,1,0.5859389802675,0.0197341252744862,0.67813519324505,0.0357323941826663,0.813743908282508,0.0431946398084429,0.919191919191919,0.0920245816075182
Rem_Gorlice_2015_1302103.laz,1302103,28,1.47729244517561,6,24,11,13,0.541666667,289.375,155.3637562,265.5,106.3,485.2,21.94583333,7.337928814,25.1,9.87,29.05,159,21,1.13136786,0.776746513,3340427,706879,2633548,0.610874774921883,0.684838631860445,0.865994284383153,1,0.638511470507117,0.760976571410743,0.832315900541795,1,0.643998173188454,0.698990002147677,0.881764307919664,1,0.601397285269613,0.662012272223006,0.895940497134288,1,0.745574233927619,0.790671240448193,0.931492394926192,0.928571428571429,0.753263006996679,0.792939427003209,0.907826458252001,0.964285714285714,0.665603157468561,0.061098209218815,0.731738024182212,0.0519732218941447,0.885888973859516,0.0314770924053791,0.982142857142857,0.027277236279499
Rem_Gorlice_2015_2603203.laz,2603203,13,0.690185676018804,4,23,6,17,0.739130435,262.3043478,147.5029845,282,85.2,478.8,16.96086957,7.420532885,18.8,5.76,24.74,320,22.5,0.975605166,0.744897406,2126427,263988,1862439,0.701134557772822,0.809948442735108,0.839155007562733,0.923076923076923,0.729947308645196,0.777407984194844,0.902466933679996,1,0.83789343113997,0.907772109074666,0.920742701330907,1,0.777941511084145,0.872094960378095,0.88434337832188,1,0.817367975437484,0.881101025729643,0.918173931960894,1,0.844893861614755,0.870482586056594,0.895743844873726,1,0.784863107615729,0.0540780248110717,0.853134518028159,0.0447723701487725,0.893437632955023,0.0273056984874576,0.987179487179487,0.0286675381730742
Rem_Gorlice_2015_2703003.laz,2703003,74,0,1,67,67,0,0,210.5522388,109.5856222,193,97.6,348.4,18.68656716,4.802016481,19.8,11.04,24.2,137,17.5,1.064784461,0.05769415,3077217,643904,2433313,0.769824106912731,0.842095109555388,0.913250978482801,1,0.615237200805564,0.750138098642819,0.774955710551139,0.945945945945946,0.657995167055839,0.755273421112914,0.867135485994734,0.986486486486487,0.698717996993433,0.767672786949845,0.905669420518179,1,0.695488101120941,0.757199503255932,0.912285559992566,0.905405405405405,0.721863736040642,0.815175286364197,0.870419539032583,1,0.693187718154858,0.0483840962805899,0.781259034313516,0.0347815853735101,0.873952782428667,0.0480955208594695,0.972972972972973,0.0357533960954675
Rem_Gorlice_2015_2800303.laz,2800303,34,0.419483369306181,3,45,41,4,0.088888889,189.7111111,139.0824841,140,89.4,393,16.02444444,6.335009348,13.9,10.22,26.18,282,21.8,1.038902156,0.42506928,2527812,722265,1805547,0.667440612903111,0.772937338098305,0.847236821986657,1,0.580144765873639,0.761182709389689,0.77261864946561,1,0.555583139270003,0.660175762800635,0.778729666282245,0.970588235294118,0.675599464422672,0.771082123407937,0.835507901498469,1,0.620648131532999,0.672534046036384,0.810166663185509,0.970588235294118,0.763574093501806,0.831296490558762,0.911713357585815,0.970588235294118,0.643831701250705,0.0686611538919179,0.744868078381952,0.0600223537079682,0.825995510000717,0.0469448789113631,0.985294117647059,0.0147058823529412
Rem_Gorlice_2015_2902903.laz,2902903,6,0.562335144618808,2,4,0,4,1,474.75,117.9162839,514.5,361.5,556.2,35.175,6.02570881,37.15,29.43,39.34,498,37.8,0.920021031,0.528736788,2198225,383643,1814582,0.574706387959933,0.626641937712283,0.925284744590122,0.833333333333333,0.611191365676789,0.655414323605073,0.896096852067373,1,0.613974227272915,0.639692036944095,0.937431266830264,0.833333333333333,0.466457558977327,0.51718598989406,0.877459454249787,0.833333333333333,0.303524817933523,0.383996048545265,0.543972790064281,1,0.683496725464475,0.73565595107201,0.875617784019554,1,0.542225180547494,0.124923666176547,0.593097714628798,0.113275882265018,0.842643815303564,0.135508427748453,0.916666666666667,0.0833333333333333
Rem_Gorlice_2015_3003303.laz,3003303,7,0.950270539233235,5,16,10,6,0.375,220.0625,126.6356815,180.5,86.5,382,16.36875,10.04222543,12.05,6.65,28.25,91,6,0.792770546,0.262136546,4053085,781710,3271375,0.545706837547631,0.557510738110057,0.968519669184502,0.714285714285714,0.559429167169752,0.788760151513797,0.704239670174401,1,0.66219572701117,0.717597722604752,0.925212744912742,0.857142857142857,0.730226117632897,0.772346428977083,0.94693052675422,1,0.758195894839381,0.827959717141116,0.908747641515625,1,0.810688984176508,0.824579766338216,0.982349753102106,1,0.677740454729557,0.0988055409426486,0.74812575411417,0.092846215157715,0.906000000940599,0.0935389505735312,0.928571428571429,0.109108945117996
Rem_Gorlice_2015_3203303.laz,3203303,41,0.616128669601866,3,30,24,6,0.2,199.1,115.0482208,148.5,97.3,361.7,16.12,5.928388744,15.6,8.59,24.62,284,17.8,0.775074011,0.293134027,3560242,1140599,2419643,0.450080479384796,0.695829668397297,0.651210898135799,0.902439024390244,0.400558977272645,0.581099437325856,0.662743156029499,0.975609756097561,0.498875153806523,0.586956779451184,0.767275889468329,0.902439024390244,0.488089506768543,0.597288619465772,0.782918262865696,0.926829268292683,0.586084315533585,0.681073731225354,0.852708284418046,0.853658536585366,0.639727303399468,0.73324713736574,0.855358027341231,0.902439024390244,0.510569289360926,0.0804027052800386,0.645915895538534,0.0597162269035163,0.7620357530431,0.0811739504185218,0.910569105691057,0.0363588289024356
Rem_Gorlice_2015_3203403.laz,3203403,28,0.985593952328611,3,24,12,12,0.5,238.4166667,149.6958995,204,82.3,432.7,19.01666667,12.42545307,18,5.16,32.57,142,8.9,1.163209554,0.344711624,2219178,199741,2019437,0.766981707658492,0.836382125099331,0.912958656855718,0.714285714285714,0.583215040661138,0.761083957152141,0.695439925386006,1,0.846742745348828,0.85918050962432,0.978055590913919,0.571428571428571,0.680369521292997,0.821263809299081,0.777452572442946,0.821428571428571,0.791129312906271,0.860190100329698,0.885730607556091,0.928571428571429,0.846265705139391,0.900729460224311,0.935119200370342,0.928571428571429,0.752450672167853,0.0941946875721941,0.83980499362148,0.0429248314974859,0.86412609225417,0.0973298930108255,0.827380952380952,0.146409212812486
Rem_Gorlice_2015_3802203.laz,3802203,52,0.34254150797197,2,37,33,4,0.108108108,250.8648649,86.45010191,277,120.6,337,21.84864865,5.097146349,23.9,13.54,26.34,223,22.1,1.312991266,0.111836494,3702051,352205,3349846,0.708840454777322,0.849995548252065,0.836594955421536,1,0.657388905939368,0.81886074583151,0.792322367701643,1,0.771066959721913,0.839082120938458,0.90400555312173,0.961538461538462,0.765624852250563,0.844017898835153,0.896019542354645,1,0.796657833776704,0.864847211795341,0.918126370728593,0.961538461538462,0.769842172901144,0.854350707348194,0.875893235275086,1,0.744903529894502,0.047211751606949,0.845192372166787,0.0142905996361595,0.870493670767205,0.0434597923502922,0.987179487179487,0.0181309431073474
Rem_Gorlice_2015_4704303.laz,4704303,18,0.882310924515076,3,16,9,7,0.4375,311.1875,125.8852487,322.5,169.5,457,17.75,9.214770751,21.5,4.5,26.9,388,24.5,0.952561144,0.425451093,2180522,213116,1967406,0.770627912105418,0.832283505387816,0.899756266773808,0.888888888888889,0.795245872175821,0.84534330750495,0.929619477248304,0.944444444444444,0.762781403019424,0.817215165953767,0.893073697377502,0.944444444444444,0.794368955994645,0.854970663621754,0.933107999685369,0.888888888888889,0.810514635257039,0.873525608805757,0.924504146205533,0.944444444444444,0.79679092444441,0.8292768084331,0.87660125892916,1,0.788388283832793,0.0164018185113308,0.842102509951191,0.0184562304321621,0.909443807703279,0.0209536289254646,0.935185185185185,0.0381769039409043
Rem_Gorlice_2015_5001003.laz,5001003,24,1.32736286342019,5,20,9,11,0.55,303.75,181.9950476,304.5,107.8,561,20.6,8.192422686,23,9.69,29.17,70,5.1,1.226604044,0.411457813,1564772,245805,1318967,0.686372639748963,0.740266342396868,0.917474140908026,0.875,0.757454335038186,0.803130905910752,0.934552441770896,1,0.74490453767609,0.785192395887454,0.943244947692269,0.916666666666667,0.693766705962412,0.755781597895177,0.895619030046973,0.875,0.740210548760894,0.796496745451524,0.896540984697335,0.916666666666667,0.764259019252467,0.79869468775693,0.934685627484926,1,0.731161297739836,0.0301715316883074,0.779927112549784,0.0236251857688535,0.920352862100071,0.0187889985467616,0.930555555555555,0.0519674637051936
Rem_Gorlice_2015_5201303.laz,5201303,33,1.3937747880107,2,28,13,15,0.535714286,268.1071429,148.505478,260,90.3,451.7,18.76785714,7.429672919,22.2,8.79,26.36,375,24,0.751658995,0.523016553,3524623,1246579,2278044,0.617335341541186,0.770436144524549,0.792243543326666,0.878787878787879,0.535455232846468,0.716433847727734,0.723949223098396,0.939393939393939,0.639276631886039,0.733648149105065,0.83850492842699,0.818181818181818,0.633337722427039,0.727346766807036,0.851846116138636,0.909090909090909,0.652727051373648,0.760801730241919,0.816212082386238,0.939393939393939,0.752505377545769,0.849720894647571,0.878592204318968,0.96969696969697,0.638439559603358,0.0636304856890193,0.759731255508979,0.0443802222955659,0.816891349615982,0.0495684587266402,0.909090909090909,0.049484641268347
Rem_Gorlice_2015_5204803.laz,5204803,22,0.658109987543114,2,5,4,1,0.2,246.2,52.00673033,215,204.6,304.4,20.1,4.950757518,22,15,24.64,314,26.4,0.58903711,-0.202717749,2773276,288957,2484319,0.711424402563805,0.785014770011318,0.881296731603011,0.954545454545455,0.545585877750152,0.739062501982782,0.712256977332815,1,0.75793865894949,0.842994027687045,0.875777512047415,1,0.65586622250124,0.743747646965317,0.854287680126549,1,0.590775571165302,0.688279060099533,0.720528446220627,1,0.599959133481842,0.709152046569058,0.706276262750325,1,0.643591644401972,0.0731729139113131,0.751375008885842,0.0508254036069036,0.791737268346791,0.0792544536284251,0.992424242424243,0.0169399089204529
Rem_Gorlice_2015_5705203.laz,5705203,9,0.636514168294813,3,33,13,20,0.606060606,162,93.6692986,138,79.4,298.4,15.18181818,5.496445132,15.3,8.3,22.1,360,25.2,1.095201155,0.471364551,2066591,1301872,764719,0.846941441514502,0.851476377489906,0.9919930923346,0.888888888888889,0.921737160001851,0.96703270542076,0.952181817418874,1,0.885478391764608,0.947806795180315,0.936516436983121,1,0.923859042850942,0.952488187747925,0.970297362250123,1,0.89865134641264,0.961225837180176,0.93464748395039,1,0.912263670637943,0.983021327490757,0.928380645299585,0.888888888888889,0.898155175530414,0.0264563855086173,0.94384187175164,0.0428114289659123,0.952336139706115,0.0224808083757802,0.962962962962963,0.0523782800878924
Rem_Gorlice_2015_5804403.laz,5804403,8,0,2,10,3,7,0.7,407.7,126.7254688,425.5,327.2,508.5,27.96,8.17872579,30.05,25.21,32.57,354,32.4,1.388376113,0.578499521,2812353,674530,2137823,0.779883335807278,0.796385112690095,0.965440626426493,0.75,0.697030615851305,0.737006379890175,0.938649890625642,1,0.793898639972656,0.826130478555269,0.959635063737171,1,0.734809493874938,0.773802123231415,0.945499261688259,1,0.808925045289224,0.914659423189801,0.881115953949675,1,0.751425940436062,0.834214103721042,0.790121251530283,1,0.760995511871911,0.0378712689347288,0.813699603546299,0.0555903283512684,0.913410341326254,0.06158156692166,0.958333333333333,0.0931694990624912
Rem_Gorlice_2015_5805203.laz,5805203,9,0.529706199057654,3,24,24,0,0,270.8333333,56.6750207,291,207.6,326.7,24.35416667,3.509115975,25.35,23.4,26.54,233,23.4,1.086484766,-0.003938709,1430079,705874,724205,0.75875792935186,0.777171439470705,0.973005662531163,0.888888888888889,0.707034836103023,0.826180545206123,0.862314121155906,1,0.858586138159685,0.885985953797306,0.965448591620345,1,0.875579104600865,0.899317203659759,0.972961121160928,1,0.757200075539427,0.808691656470475,0.839890732411034,1,0.820514879026357,0.84327494160732,0.862857488253136,1,0.796278827130203,0.0600799158851601,0.840103623368615,0.0423527195819497,0.912746286188752,0.0582734629874906,0.981481481481482,0.0414086662499961
Rem_Gorlice_2015_5904503.laz,5904503,36,0,2,8,0,8,1,413.75,76.23600574,395.5,341,499.8,34.575,2.182887995,34.25,32.68,36.95,320,35,1.062015906,0.593503513,1892263,784419,1107844,0.703083148591527,0.75295440541011,0.921828465704244,0.916666666666667,0.616686424588046,0.720696250559173,0.819231859142389,1,0.567456408330301,0.650219732730212,0.798129536020918,0.916666666666667,0.613738642791317,0.724185122703552,0.843429337842023,0.916666666666667,0.540591357881741,0.619481841705909,0.774738176628489,0.888888888888889,0.643962972776521,0.711739971129129,0.816774183144051,0.972222222222222,0.614253159159909,0.0522743123835619,0.696546220706348,0.0462690108638479,0.829021926413686,0.046489326994576,0.935185185185185,0.0381769039409043
Rem_Gorlice_2015_5905203.laz,5905203,8,0.376770161256437,4,16,7,9,0.5625,239.875,117.7018125,219.5,77.5,381.5,19.4125,8.462141179,19.9,6.85,28.3,137,11.1,0.723054305,0.306608825,3665366,498714,3166652,0.858537149939107,0.89379941913667,0.959289502386679,0.75,0.858326255163413,0.883794518897525,0.968539192687119,1,0.839637843666216,0.848702113092516,0.986657400474486,1,0.823548817883333,0.8297638028234,0.988890656436099,1,0.912990620413013,0.91947797179269,0.993075618372571,1,0.958211251233069,0.973053961751076,0.984545832739683,1,0.875208656383025,0.046213064146772,0.891431964582313,0.0468000476192436,0.980166367182773,0.0120769055879533,0.958333333333333,0.0931694990624912
Rem_Gorlice_2015_6004603.laz,6004603,37,0.247750827451536,3,20,12,8,0.4,279.95,219.3517903,135,76.8,551.9,20.56,15.38295023,11.05,5.77,37.52,106,5.8,1.17907759,0.254881358,2357643,162234,2195409,0.695038299035382,0.743040748801817,0.92045318018229,0.864864864864865,0.596831489316178,0.689087462636864,0.820132154644193,0.972972972972973,0.65752985516233,0.700774011741481,0.895800347129149,0.945945945945946,0.635338680456216,0.692014329270198,0.895604840327607,0.945945945945946,0.559015004107055,0.671981418725933,0.748247593349818,0.891891891891892,0.71635620639645,0.781905469920214,0.900794515975346,0.972972972972973,0.643351589078935,0.0540727893926053,0.713133906849418,0.0376264742900332,0.863505438601401,0.0603772389837845,0.932432432432432,0.0405405405405405
Rem_Gorlice_2015_6005403.laz,6005403,14,0.859967281035505,3,28,17,11,0.392857143,287.3571429,77.0777454,304.5,194.6,378.5,21.95714286,4.486145634,23,16.61,26,309,26,1.097741258,0.304784605,1418874,487555,931319,0.650549599379556,0.714057943847459,0.909341999414729,0.642857142857143,0.406271242281844,0.615020787163297,0.552408029111648,1,0.742410473539163,0.822242082163127,0.872143852950379,0.928571428571429,0.508782816124967,0.643834104685621,0.693038420030159,1,0.667394121288452,0.848173774486057,0.779594890053359,1,0.79379100340481,0.868138633566728,0.877946946830292,1,0.628199876003132,0.132924122288825,0.751911220985382,0.0996445726951375,0.780745689731761,0.125280150224224,0.928571428571429,0.130410132739325
Rem_Gorlice_2015_6105103.laz,6105103,23,1.11748995942315,1,21,0,21,1,305.5238095,164.7933916,291,135,588,22.36666667,8.474628802,24.5,11.3,30.8,377,29.5,0.45107612,0.700291487,3005484,961208,2044276,0.49277341203653,0.616726885187724,0.760185131845177,0.782608695652174,0.643076773261536,0.783776287538148,0.812649135771544,1,0.594488970345344,0.644022264160663,0.862187422704376,0.869565217391304,0.632385889471067,0.685346818971729,0.894331130730981,0.869565217391304,0.608750758992294,0.682389146571978,0.858802058568944,0.782608695652174,0.673071185985597,0.735384605562048,0.870138686221504,1,0.607424498348728,0.0570344951111482,0.691274334665382,0.0553872573856316,0.843048927640421,0.0442882951061075,0.884057971014493,0.089339333376362
Rem_Gorlice_2015_6105603.laz,6105603,16,0,1,26,26,0,0,253.3076923,49.06303638,243.5,199.5,330,21.41923077,0.773055874,21.4,20.55,22.25,197,20.7,1.068439191,-0.421178299,3028577,377726,2650851,0.72276591474794,0.807637471725381,0.894830476745662,1,0.584170429776665,0.677031944583168,0.773298475107365,0.8125,0.605806856642686,0.700375716578885,0.776698118306507,0.75,0.561860433529451,0.648229657676128,0.859696347261546,0.6875,0.451570436167868,0.573433125080448,0.675459203532979,0.75,0.587064077263688,0.745204866231301,0.70671296920481,0.9375,0.585539691354716,0.0793247140889058,0.691985463645885,0.0735650770819101,0.781115931693145,0.0773365525937823,0.822916666666667,0.110730685549319
Rem_Gorlice_2015_6204103.laz,6204103,19,1.03739232462091,2,31,30,1,0.032258065,177.6129032,40.12453731,172,128,237,16.97096774,5.303721558,18.3,11.1,21.6,237,19.8,1.020696778,-0.148870054,1854511,467589,1386922,0.858241592160604,0.896332343009616,0.956993075688595,0.894736842105263,0.882964279535111,0.909227962507699,0.96921565676189,1,0.752422153572186,0.807391450250991,0.872551574145449,0.947368421052632,0.877113629946764,0.900348346003601,0.970819006495717,1,0.909552269903197,0.947128226928422,0.959917442451328,1,0.88235385925464,0.923157647508529,0.957281450552262,1,0.860441297395417,0.0505804203232927,0.897264329368143,0.043565113872045,0.94779636768254,0.0340883007442215,0.973684210526316,0.0401980324118933
Rem_Gorlice_2015_6303103.laz,6303103,24,0.514096697339951,4,48,38,10,0.208333333,172.9166667,80.08979889,160,81.4,278.3,14.72291667,5.299387342,15.05,8.01,22.39,245,21,0.944669984,0.526390014,2099906,409643,1690263,0.598245475330549,0.6750425208962,0.820052762208632,0.875,0.609595298314935,0.786032861250753,0.757337571282155,1,0.686237477384043,0.785691141617736,0.82781989829066,0.916666666666667,0.674769215189783,0.752445240716081,0.862505811517565,0.916666666666667,0.715496802798773,0.819029645138141,0.838895179329791,0.958333333333333,0.737494759740332,0.792546514864226,0.881133471238647,1,0.670306504793069,0.0511676637270565,0.768464654080523,0.0460551565856253,0.831290782311242,0.0389955469575377,0.944444444444444,0.0460642331993806
Rem_Gorlice_2015_6304803.laz,6304803,47,0.690662696776406,2,23,20,3,0.130434783,291.8695652,131.8622919,318,125,438.4,23.03913043,8.559351034,26.7,10.54,30.32,333,27.2,1.165180773,0.220898716,2846985,974911,1872074,0.597010706867422,0.717070583408214,0.827073550691804,1,0.456583925384739,0.658990043463523,0.638648780989333,1,0.448723697779065,0.600298607928313,0.567655220208289,0.851063829787234,0.44880323975205,0.723951357645827,0.629025578413031,0.978723404255319,0.567266561730971,0.640738270210648,0.820186504125664,0.829787234042553,0.682515021315761,0.745332528940228,0.88182169975783,0.978723404255319,0.533483858805001,0.0891215562601749,0.681063565266126,0.0514825470463731,0.727401889030992,0.119347471526919,0.939716312056738,0.0710105829592226
Rem_Gorlice_2015_6305803.laz,6305803,29,0.410116318288409,4,20,10,10,0.5,250.15,128.3585746,290,95.1,390.1,19.48,9.158234718,24.8,8.44,28.73,400,28.2,0.879043101,0.671216452,3141550,157603,2983947,0.674202134552612,0.775250827941539,0.860697488634224,0.931034482758621,0.615225075491228,0.74107917688951,0.783515788675745,0.96551724137931,0.690495384868694,0.736009277652047,0.914257572012563,0.931034482758621,0.712453274497992,0.75899576505578,0.928905723464352,0.96551724137931,0.739981412116335,0.793783201356558,0.916929369644729,0.96551724137931,0.725311657887576,0.796611665708499,0.899401195955685,0.96551724137931,0.692944823235739,0.0409028924535708,0.766954985767322,0.0236595165644724,0.883951189731216,0.0498224419861379,0.954022988505747,0.0162553283031391
Rem_Gorlice_2015_6405903.laz,6405903,48,0.126930545341402,4,43,20,23,0.534883721,183.9534884,93.20432074,156,86.4,315.8,14.64418605,4.717813372,15.7,8.22,20.5,257,17.6,0.961011223,0.741682983,1830035,372610,1457425,0.717422219754461,0.790273047040808,0.895627089257564,0.958333333333333,0.668450570467947,0.806824877222991,0.798658858403363,1,0.695249867131519,0.764426576296979,0.88851865114416,0.729166666666667,0.725667944604033,0.799808554148126,0.89105543565798,1,0.675030729364289,0.771610575492414,0.851143584795934,0.916666666666667,0.748802072491576,0.833268096531921,0.870619065676647,0.895833333333333,0.705103900635637,0.0283699234307401,0.794368621122207,0.0228369174466321,0.865937114155941,0.0336389738929961,0.916666666666667,0.0923898242753477
Rem_Gorlice_2015_6504403.laz,6504403,42,1.02744460574285,2,34,1,33,0.970588235,247.6470588,120.4330274,268,83.1,394.3,20.55588235,8.943702412,23.75,6.22,29.21,202,17.3,0.813409602,0.553536467,3854001,903671,2950330,0.685659968473698,0.777719243028701,0.881140345079239,0.833333333333333,0.550495688410538,0.69396268522093,0.748095003390295,0.976190476190476,0.547740178743473,0.614372315805167,0.743744900678207,0.785714285714286,0.625194225434705,0.704933774632375,0.843094681664211,0.976190476190476,0.61452297907586,0.676595447780127,0.849930712053555,0.80952380952381,0.694477494614559,0.750362812003067,0.87904207983631,1,0.619681755792139,0.0576871300224956,0.702991046411728,0.0523826944786085,0.824174620450303,0.0570583397462682,0.896825396825397,0.0887328562499916
Rem_Gorlice_2015_6505003.laz,6505003,30,0.154076103671029,1,19,19,0,0,286.6842105,65.13324175,283,210.4,342.6,23.3,1.625491379,23.4,21.7,25.34,204,19.7,1.024950575,-0.457578489,3947903,783175,3164728,0.712505449116502,0.794093461633772,0.837280794907558,0.8,0.791598373980255,0.865594540965718,0.905276190422557,1,0.779026636104626,0.82242738017947,0.935813495511681,0.933333333333333,0.747188171345703,0.802912697068835,0.890815211919821,1,0.667881729410769,0.749846956719856,0.834493720234302,0.9,0.779279392520867,0.85015621095349,0.862033302687447,0.966666666666667,0.74624662541312,0.0437852416420352,0.814171874586857,0.0380239469666632,0.877618785947228,0.0366413564258445,0.933333333333333,0.0693888666488711
Rem_Gorlice_2015_6505903.laz,6505903,26,0.233791658706459,3,33,30,3,0.090909091,245.4545455,66.45068233,251,167.4,325.4,22.52121212,3.755309373,23.2,19.4,26.12,265,23,1.148482596,0.135321146,2625298,562227,2063071,0.686969869561386,0.790685752040351,0.850216171699171,0.807692307692308,0.640507454912553,0.827600102424672,0.764449645791513,1,0.670689336522018,0.789441881969846,0.828195113486417,0.769230769230769,0.691339705189361,0.776717347622928,0.875321518060102,0.923076923076923,0.726610766799174,0.820949518027559,0.872898715970375,0.884615384615385,0.74550903645945,0.842222234981674,0.871653919178678,0.961538461538462,0.69360436157399,0.0345857463025014,0.807936139511172,0.0236141984031728,0.843789180697709,0.0391521390190323,0.891025641025641,0.0813370355157021
Rem_Gorlice_2015_6605103.laz,6605103,24,0.409458618695089,1,37,37,0,0,213.3243243,39.65619894,212,158.6,262.4,19.8027027,1.508399904,19.9,17.72,21.64,218,21.5,1.107996857,-0.033779819,3246919,952157,2294762,0.740956970822047,0.832703558916516,0.878089946119516,0.916666666666667,0.695337728941532,0.790719028907137,0.872263887026258,1,0.708690888719902,0.794811943301639,0.869694983846308,1,0.62574047600957,0.738238937519583,0.830866633258948,1,0.64671051753276,0.78116061680422,0.811703147314929,0.958333333333333,0.686212590579164,0.774387579655137,0.816813983395633,1,0.683941528767496,0.0382357452535814,0.785336944184039,0.0280413122648095,0.846572096826932,0.0274959431938996,0.979166666666667,0.0318234423260822
