source_file,plot_nr,n_trees_gt,Species,Nr_of_trees_field,Conifer,Broadleaved,Broadleaved_prop,shannon_index,berger_parker,clarkevans,complexity_score,dbh_mean,dbh_sd,dbh_median,dbh_p10,dbh_p90,h_mean,h_sd,h_median,h_p10,h_p90,aboveground_points,tree_points_aboveground,cai_mean_over_occupied,cai_max,mean_shared_fraction,median_shared_fraction,mean_n_competitors
Rem_Herby_2016_2202806.laz,2202806,15,2.0,16.0,14.0,2.0,0.125,0.376770161256437,0.866666666666667,1.013118507820467,-0.164444463,256.5,54.32372103,257.5,225.0,308.0,21.4125,3.429066928,21.9,21.0,23.45,2718622,2114109,1.0383995703544575,2.0,0.0028894019290463,0.0021034917963819,1.368421052631579
Rem_Piensk_2016_2404602.laz,2404602,21,3.0,19.0,19.0,0.0,0.0,1.06011893593984,0.333333333333333,1.245756569510457,0.163441635,308.9473684,65.26226891,309.0,235.8,405.0,25.12105263,2.979667943,26.0,19.94,27.64,3987730,2601868,1.1222439980401764,3.0,0.0019952569945944,0.0013616076330178,1.75
Rem_Piensk_2016_2401002.laz,2401002,39,1.0,36.0,36.0,0.0,0.0,0.0,0.923076923076923,1.213060122105269,-0.10164176,256.2777778,49.0292106,261.0,204.5,318.5,24.9,1.846231683,25.0,23.55,26.35,3037165,2663475,1.0592566619915849,3.0,0.0014867180376984,0.0008474029797184,0.95
Rem_Piensk_2016_3102202.laz,3102202,22,3.0,21.0,20.0,1.0,0.047619048,0.380506218477596,0.818181818181818,1.163054146018354,0.18343981,322.5238095,58.88600772,312.0,280.0,402.0,26.19047619,4.223967893,26.3,24.8,30.1,3059452,2445107,1.119404277426617,3.0,0.0035964078633743,0.003157362970447,1.52
Rem_Gorlice_2015_6905203.laz,6905203,7,7.0,27.0,5.0,22.0,0.814814815,0.955699891112534,0.428571428571429,0.9074889467491156,1.098045273,274.3333333,106.8946282,295.0,148.2,390.8,20.55555556,6.277513798,22.3,12.6,26.74,1969603,1617763,1.1116414744099707,2.0,0.0047190202272217,0.0,0.4444444444444444
Rem_Gorlice_2015_5705203.laz,5705203,9,3.0,33.0,13.0,20.0,0.606060606,0.636514168294813,0.666666666666667,0.8795017672204661,0.471364551,162.0,93.6692986,138.0,79.4,298.4,15.18181818,5.496445132,15.3,8.3,22.1,2066591,764719,1.1565692563554288,3.0,0.0005396226325534,7.332453438920662e-05,0.6666666666666666
Rem_Herby_2016_2102406.laz,2102406,27,2.0,23.0,22.0,1.0,0.043478261,0.178844912716848,0.814814814814815,1.00190245428013,-0.294649025,272.7391304,43.8595044,265.0,227.4,335.2,23.10869565,1.245688216,23.0,21.82,24.86,2303813,1826959,1.1171343537414966,3.0,0.0102093528648257,0.0078428652109048,2.6875
Rem_Herby_2016_0702506.laz,702506,33,2.0,31.0,28.0,3.0,0.096774194,0.317936780262242,0.848484848484848,1.194072231898592,0.089935093,265.3548387,63.20208245,280.0,194.0,318.0,24.39032258,4.262734243,26.0,20.0,26.8,2443786,2086496,1.1289835625628983,3.0,0.0025431581467497,0.0022421524663677,1.3142857142857145
Rem_Piensk_2016_1702302.laz,1702302,38,3.0,33.0,11.0,22.0,0.666666667,0.759785767739997,0.552631578947368,1.264493881973982,0.315832846,233.4848485,57.21129762,227.0,172.2,312.2,20.19393939,3.364886643,21.3,15.52,23.0,3228987,2471532,1.1349669082886855,3.0,0.0032928165436484,0.0007432575991156,1.0
Rem_Piensk_2016_1601102.laz,1601102,24,1.0,19.0,19.0,0.0,0.0,0.0,0.791666666666667,1.24038440775691,-0.359347821,314.5789474,42.78799908,297.0,266.8,365.0,27.67894737,1.489063444,27.1,26.2,29.72,1981283,1692540,1.0421534936998855,3.0,0.0014403464707744,0.0002980625931445,0.6666666666666666
